,names,parents,values,color
451,xxx451,전자부품 제조업,55,-4.380510334
452,xxx452,특수 목적용 기계 제조업,55,5.362637332
453,xxx453,금융 지원 서비스업,54,5.846403093
454,xxx454,의약품 제조업,54,3.459155658
455,xxx455,소프트웨어 개발 및 공급업,54,
456,xxx456,의약품 제조업,54,-2.452397371
457,xxx457,반도체 제조업,54,0.6161861394
458,xxx458,오디오물 출판 및 원판 녹음업,54,-4.039362428
459,xxx459,의약품 제조업,53,-3.67940071
460,xxx460,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",53,-4.027707404
461,xxx461,소프트웨어 개발 및 공급업,53,-4.605170186
462,xxx462,일반 목적용 기계 제조업,53,
463,xxx463,기타 금융업,53,-4.145712727
464,xxx464,기타 금융업,52,-3.82899967
465,xxx465,화학섬유 제조업,52,-3.769907869
466,xxx466,부동산 임대 및 공급업,52,inf
467,xxx467,기계장비 및 관련 물품 도매업,52,
468,xxx468,소프트웨어 개발 및 공급업,51,
469,xxx469,"영화, 비디오물, 방송프로그램 제작 및 배급업",51,
470,xxx470,기타 화학제품 제조업,51,
471,xxx471,특수 목적용 기계 제조업,51,
472,xxx472,"영화, 비디오물, 방송프로그램 제작 및 배급업",51,-4.284262466
473,xxx473,전자부품 제조업,51,3.344353483
474,xxx474,"펄프, 종이 및 판지 제조업",50,
475,xxx475,텔레비전 방송업,50,2.207919866
476,xxx476,통신 및 방송 장비 제조업,50,-3.854393893
477,xxx477,소프트웨어 개발 및 공급업,50,
478,xxx478,특수 목적용 기계 제조업,50,4.682131227
479,xxx479,1차 철강 제조업,50,-4.256953578
480,xxx480,기타 정보 서비스업,50,-3.737669618
481,xxx481,고무제품 제조업,49,-5.22968886
482,xxx482,소프트웨어 개발 및 공급업,49,
483,xxx483,기타 화학제품 제조업,49,
484,xxx484,기초 화학물질 제조업,49,4.26411604
485,xxx485,가정용 기기 제조업,49,0.7133498879
486,xxx486,자동차 신품 부품 제조업,49,-3.278299245
487,xxx487,기타 정보 서비스업,49,
488,xxx488,반도체 제조업,48,
489,xxx489,"시멘트, 석회, 플라스터 및 그 제품 제조업",48,
490,xxx490,전자부품 제조업,48,-3.506557897
491,xxx491,자동차 차체 및 트레일러 제조업,48,
492,xxx492,"그외 기타 전문, 과학 및 기술 서비스업",48,5.530939662
493,xxx493,기타 식품 제조업,48,-3.37850597
494,xxx494,자연과학 및 공학 연구개발업,48,
495,xxx495,의료용 기기 제조업,48,-3.992065713
496,xxx496,기타 화학제품 제조업,48,
497,xxx497,기초 의약물질 및 생물학적 제제 제조업,48,-4.029806041
498,xxx498,특수 목적용 기계 제조업,47,-3.488551871
499,xxx499,기타 화학제품 제조업,47,
500,xxx500,소프트웨어 개발 및 공급업,47,
501,xxx501,생활용품 도매업,47,
502,xxx502,자연과학 및 공학 연구개발업,47,
503,xxx503,기타 섬유제품 제조업,46,
504,xxx504,전자부품 제조업,46,-4.451422002
